Page,Hits
1,1275
2,902
3,736
4,638
5,570
6,521
7,482
8,451
9,425
10,403
11,385
12,368
13,354
14,341
15,329
16,319
17,309
18,301
19,293
20,285
21,278
22,272
23,266
24,260
25,255
26,250
27,245
28,241
29,237
30,233
31,229
32,225
33,222
34,219
35,216
36,213
37,210
38,207
39,204
40,202
41,199
42,197
43,194
44,192
45,190
46,188
47,186
48,184
49,182
50,180
51,179
52,177
53,175
54,174
55,172
56,170
57,169
58,167
59,166
60,165
61,163
62,162
63,161
64,159
65,158
66,157
67,156
68,155
69,154
70,152
71,151
72,150
73,149
74,148
75,147
76,146
77,145
78,144
79,143
80,143
81,142
82,141
83,140
84,139
85,138
86,138
87,137
88,136
89,135
90,134
91,134
92,133
93,132
94,132
95,131
96,130
97,129
98,129
99,128
100,128
101,127
102,126
103,126
104,125
105,124
106,124
107,123
108,123
109,122
110,122
111,121
112,121
113,120
114,119
115,119
116,118
117,118
118,117
119,117
120,116
121,116
122,115
123,115
124,115
125,114
126,114
127,113
128,113
129,112
130,112
131,111
132,111
133,111
134,110
135,110
136,109
137,109
138,109
139,108
140,108
141,107
142,107
143,107
144,106
145,106
146,106
147,105
148,105
149,104
150,104
151,104
152,103
153,103
154,103
155,102
156,102
157,102
158,101
159,101
160,101
161,101
162,100
163,100
164,100
165,99
166,99
167,99
168,98
169,98
170,98
171,98
172,97
173,97
174,97
175,96
176,96
177,96
178,96
179,95
180,95
181,95
182,95
183,94
184,94
185,94
186,94
187,93
188,93
189,93
190,93
191,92
192,92
193,92
194,92
195,91
196,91
197,91
198,91
199,90
200,90
201,90
202,90
203,90
204,89
205,89
206,89
207,89
208,88
209,88
210,88
211,88
212,88
213,87
214,87
215,87
216,87
217,87
218,86
219,86
220,86
221,86
222,86
223,85
224,85
225,85
226,85
227,85
228,84
229,84
230,84
231,84
232,84
233,84
234,83
235,83
236,83
237,83
238,83
239,82
240,82
241,82
242,82
243,82
244,82
245,81
246,81
247,81
248,81
249,81
250,81
251,80
252,80
253,80
254,80
255,80
256,80
257,80
258,79
259,79
260,79
261,79
262,79
263,79
264,78
265,78
266,78
267,78
268,78
269,78
270,78
271,77
272,77
273,77
274,77
275,77
276,77
277,77
278,76
279,76
280,76
281,76
282,76
283,76
284,76
285,76
286,75
287,75
288,75
289,75
290,75
291,75
292,75
293,75
294,74
295,74
296,74
297,74
298,74
299,74
300,74
301,74
302,73
303,73
304,73
305,73
306,73
307,73
308,73
309,73
310,72
311,72
312,72
313,72
314,72
315,72
316,72
317,72
318,72
319,71
320,71
321,71
322,71
323,71
324,71
325,71
326,71
327,71
328,70
329,70
330,70
331,70
332,70
333,70
334,70
335,70
336,70
337,69
338,69
339,69
340,69
341,69
342,69
343,69
344,69
345,69
346,69
347,68
348,68
349,68
350,68
351,68
352,68
353,68
354,68
355,68
356,68
357,67
358,67
359,67
360,67
361,67
362,67
363,67
364,67
365,67
366,67
367,67
368,66
369,66
370,66
371,66
372,66
373,66
374,66
375,66
376,66
377,66
378,66
379,66
380,65
381,65
382,65
